basin,play_subbasin,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021,mar_2021,apr_2021,may_2021
Eagleford,Eagle Ford,equivalent co2 released daily,metric tons,4010.9216,1773.8760,1499.2184,3697.5752,1789.8228,4296.0460,5731.4224,7879.2536,7879.1440,5975.5564,5230.4408,6374.1168,4307.0060,3590.9344,1723.1860,3004.5744,2170.0800,3176.3724,2952.5692,4371.6152,2444.1348,3980.1240,3473.7172,3904.0068,2770.4140,1979.7048,2360.7840,1514.1788,
Haynesville,Haynesville-Bossier,equivalent co2 released daily,metric tons,7.5076,1.0960,9.9188,6.5212,23.5092,28.2220,23.7832,46.6348,33.4828,14.0836,13.8644,11.2888,12.4944,13.9740,5.5348,11.2888,1.2604,11.5628,20.6596,23.1804,11.9464,5.4252,8.9872,7.3432,1.4796,25.3176,2.9592,4.0552,
Permian,All,equivalent co2 released daily,metric tons,31368.7256,28287.9792,26768.4848,32025.5584,28317.3520,34692.3456,36225.6496,39956.7076,35702.3644,35951.8688,29652.2800,28739.2024,28898.9444,28944.4284,17079.3516,16681.0652,13587.9340,17787.3128,16639.4172,17454.3480,12063.8912,18275.9096,14304.9372,15899.3980,11819.0996,14600.0352,12603.0684,9353.1544,1746.0376
Permian,Central Basin Platform,equivalent co2 released daily,metric tons,405.4104,728.9496,1120.0572,1272.7848,1449.3504,1023.9380,1299.0888,1595.7760,1782.0412,824.1920,679.3556,703.4676,334.5540,785.2840,402.2868,434.2900,718.4828,1081.2588,249.5592,346.5552,701.4948,377.4076,290.8236,312.3600,239.8048,614.2532,572.6052,636.5020,15.8372
Permian,Delaware,equivalent co2 released daily,metric tons,16053.3860,14535.4808,15177.0792,17614.0352,18273.4984,22306.5592,20870.6348,22466.1916,20649.7360,21323.8308,18000.3752,17421.9064,19137.4204,17827.7004,9271.0640,10219.4328,9174.0132,9812.7072,9780.8684,9637.5664,6880.0304,11312.4736,9474.3720,11248.9604,7913.9968,8681.4160,7610.4048,5733.9980,1348.7924
Permian,Midland,equivalent co2 released daily,metric tons,13291.4660,11794.2752,9101.1840,12124.3904,7819.6860,10080.2956,12740.3972,14840.4976,12293.9964,12920.6344,9786.4580,9508.5672,8326.1476,9081.4012,6211.3060,5009.2132,3031.7552,5936.7032,5552.1716,6298.1092,4033.6636,5812.8552,3919.0220,3783.9948,3265.0388,4781.5740,3974.7536,2575.7096,16.0564
Permian,Northwestern Shelf,equivalent co2 released daily,metric tons,848.9068,568.8788,811.2592,575.6740,503.1188,774.9268,649.3800,431.5500,328.2520,299.9752,478.8424,323.9228,443.1676,418.5076,494.7344,268.1364,231.8588,425.6316,218.1040,363.9268,205.5548,323.6488,163.9616,173.0584,129.6020,248.5180,156.1800,232.6260,365.3516
Permian,Other,equivalent co2 released daily,metric tons,769.5564,660.3948,558.9052,438.6740,271.6984,506.6260,666.1488,622.6924,648.3388,583.2364,707.2488,781.3384,657.6548,831.5352,699.9604,749.9928,431.8240,531.0120,838.7140,808.1904,243.1476,449.5244,456.7580,381.0244,270.6572,274.2740,289.1248,174.3188,
Williston,Bakken,equivalent co2 released daily,metric tons,12180.7248,11985.8012,20017.7824,12035.5048,12403.2128,18718.5840,19660.6508,19413.4480,12730.7524,12490.7284,10612.7324,13204.5532,11667.3036,11635.8484,12423.1600,10415.0140,7137.2068,5824.6920,5815.9788,7285.3312,6701.4372,5574.2560,6358.4440,5161.8860,3159.2748,5353.4668,4369.6972,4497.7648,5154.0496
Williston,Three Forks,equivalent co2 released daily,metric tons,12185.5472,11988.3220,20018.5496,12035.5048,12405.2404,18720.4472,19663.3360,19422.8188,12734.0952,12491.1120,10612.9516,13206.9096,11668.2352,11637.7116,12424.4204,10416.8224,7137.5356,5841.3512,5816.4172,7286.3724,6702.1496,5576.2288,6448.5900,5230.3860,3224.1032,5377.2500,4380.4380,4505.5464,5176.0244
