state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021
TX,"Sierra Resources, Llc (Private)","Sierra Resources, Llc",Private,flared gas,Mcf,,,,,,,,,,,,49.0,68.0,23.0,44.0,64.0,38.0,37.0,,25.0,48.0,,31.0,,,
TX,"Sierra Resources, Llc (Private)","Sierra Resources, Llc",Private,equivalent co2 released,metric tons,,,,,,,,,,,,2.7,3.7,1.3,2.4,3.5,2.1,2.0,,1.4,2.6,,1.7,,,
TX,"Siltstone Resources Op Ii, Llc (Private)","Siltstone Resources Op Ii, Llc",Private,flared gas,Mcf,8619.0,14606.0,34688.0,36128.0,40582.0,33118.0,34588.0,26357.0,11626.0,14652.0,17631.0,28894.0,8814.0,9144.0,12071.0,14886.0,892.0,328.0,,,,,,,,
TX,"Siltstone Resources Op Ii, Llc (Private)","Siltstone Resources Op Ii, Llc",Private,equivalent co2 released,metric tons,472.3,800.4,1900.9,1979.8,2223.9,1814.9,1895.4,1444.4,637.1,802.9,966.2,1583.4,483.0,501.1,661.5,815.8,48.9,18.0,,,,,,,,
TX,"Silver Creek Permian Op Co, Llc (Private)","Silver Creek Permian Op Co, Llc",Private,flared gas,Mcf,3802.0,9450.0,15291.0,15130.0,21049.0,28664.0,23191.0,28494.0,46332.0,44996.0,53121.0,69726.0,79484.0,80648.0,94659.0,44456.0,54840.0,49269.0,53831.0,43509.0,42283.0,53465.0,32985.0,37536.0,3863.0,
TX,"Silver Creek Permian Op Co, Llc (Private)","Silver Creek Permian Op Co, Llc",Private,equivalent co2 released,metric tons,208.3,517.9,837.9,829.1,1153.5,1570.8,1270.9,1561.5,2539.0,2465.8,2911.0,3821.0,4355.7,4419.5,5187.3,2436.2,3005.2,2699.9,2949.9,2384.3,2317.1,2929.9,1807.6,2057.0,211.7,
TX,Silver Oil & Gas Inc. (Private),Silver Oil & Gas Inc.,Private,flared gas,Mcf,,,,,,,,60.0,45.0,50.0,55.0,60.0,45.0,50.0,50.0,40.0,45.0,35.0,40.0,35.0,50.0,45.0,40.0,30.0,,
TX,Silver Oil & Gas Inc. (Private),Silver Oil & Gas Inc.,Private,equivalent co2 released,metric tons,,,,,,,,3.3,2.5,2.7,3.0,3.3,2.5,2.7,2.7,2.2,2.5,1.9,2.2,1.9,2.7,2.5,2.2,1.6,,
TX,Skytop Oil & Gas (Private),Skytop Oil & Gas,Private,flared gas,Mcf,134.0,198.0,201.0,105.0,120.0,114.0,194.0,107.0,,99.0,138.0,132.0,209.0,274.0,117.0,,21.0,,,,,41.0,75.0,,,
TX,Skytop Oil & Gas (Private),Skytop Oil & Gas,Private,equivalent co2 released,metric tons,7.3,10.9,11.0,5.8,6.6,6.2,10.6,5.9,,5.4,7.6,7.2,11.5,15.0,6.4,,1.2,,,,,2.2,4.1,,,
